image,state
img1.jpg,natural
img2.jpg,heated
img3.jpg,natural
img4.jpg,synthetic
img5.jpg,heated
img6.jpg,natural
img7.jpg,natural
img8.jpg,natural
img9.jpg,natural
img10.jpg,natural
img11.jpg,natural
img12.jpg,natural
img13.jpg,natural
img14.jpg,natural
img15.jpg,natural
img16.jpg,natural
img17.jpg,heated
img18.jpg,heated
img19.jpg,heated
img20.jpg,heated
img21.jpg,heated
img22.jpg,heated
img23.jpg,heated
img24.jpg,heated
img25.jpg,heated
img26.jpg,heated
img27.jpg,heated
img35.jpg,synthetic
img36.jpg,synthetic
img37.jpg,synthetic
img38.jpg,synthetic
img39.jpg,synthetic
img40.jpg,synthetic
img41.jpg,synthetic
img42.jpg,synthetic
img43.jpg,synthetic
img44.jpg,synthetic
img45.jpg,synthetic
img46.jpg,synthetic
